galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID0001-NGC4133,0.0,0.0,0.0,0.0
VFID0002-NGC2977,0.0,0.0,0.0,0.0
VFID0005-NGC3752,0.0,0.0,0.0,0.0
VFID0008-NGC6643,0.0,0.0,0.0,0.0
VFID0010-NGC4648,0.0,0.0,0.0,0.0
VFID0011-NGC3155,0.0,0.0,0.0,0.0
VFID0013-UGC04883,0.0,0.0,0.0,1.0
VFID0018-NGC4589,0.0,0.0,0.0,0.0
VFID0019-NGC3183,0.0,0.0,0.0,0.0
VFID0020-NGC2633,0.0,0.0,0.0,0.0
VFID0025-NGC2634A,0.0,1.0,0.0,0.0
VFID0026-CGCG332-048,0.0,0.0,0.0,0.0
VFID0027-UGC05689,0.0,1.0,0.0,0.0
VFID0029-UGC05052,0.0,1.0,0.0,1.0
VFID0030-NGC3252,0.0,0.0,0.0,0.0
VFID0036-NGC3403,0.0,0.0,0.0,0.0
VFID0045-CGCG332-033,0.0,0.0,0.0,0.0
VFID0046-NGC6654A,0.0,0.0,0.0,0.0
VFID0047-IC2389,1.0,1.0,-999.0,0.0
VFID0051-UGC03705,0.0,0.0,0.0,0.0
VFID0052-UGC10803,0.0,0.0,0.0,0.0
VFID0053-NGC6538,0.0,0.0,0.0,0.0
VFID0055-NGC3147,0.0,0.0,0.0,0.0
VFID0058-UGCA146,0.0,0.0,0.0,0.0
VFID0059-NGC6654,0.0,0.0,0.0,0.0
VFID0060-UGC08052,0.0,0.0,0.0,0.0
VFID0066-NGC4750,0.0,0.0,0.0,0.0
VFID0067-NGC3348,0.0,0.0,0.0,0.0
VFID0070-UGC04242,0.0,0.0,0.0,0.0
VFID0073-NGC3516,0.0,0.0,0.0,0.0
VFID0075-MRK0120,0.0,1.0,0.0,1.0
VFID0076-UGC10713,0.0,0.0,0.0,0.0
VFID0077-NGC3364,0.0,0.0,0.0,0.0
VFID0082-NGC2985,0.0,0.0,0.0,0.0
VFID0086-NGC3065,0.0,1.0,0.0,1.0
VFID0088-NGC3066,0.0,0.0,0.0,0.0
VFID0089-NGC6434,0.0,0.0,0.0,0.0
VFID0092-UGC03697,0.0,1.0,0.0,0.0
VFID0095-UGC03714,0.0,0.0,0.0,0.0
VFID0097-KUG0707+717,0.0,1.0,0.0,0.0
VFID0098-NGC4749,0.0,1.0,0.0,0.0
VFID0099-UGC03804,0.0,0.0,0.0,0.0
VFID0100-UGC06552,0.0,0.0,0.0,0.0
VFID0102-UGCA296,0.0,0.0,0.0,0.0
VFID0106-UGC08305,0.0,0.0,0.0,0.0
VFID0107-NGC4693,0.0,0.0,0.0,0.0
VFID0109-NGC6395,0.0,0.0,0.0,0.0
VFID0115-NGC4250,0.0,0.0,0.0,0.0
VFID0118-VIIZw274,0.0,0.0,0.0,0.0
VFID0122-NGC3735,0.0,0.0,0.0,0.0
VFID0124-NGC6689,0.0,0.0,0.0,0.0
VFID0127-NGC5144,0.0,0.0,0.0,0.0
VFID0141-UGC06711,0.0,0.0,0.0,0.0
VFID0145-NGC4120,0.0,0.0,0.0,0.0
VFID0147-UGC04739,0.0,0.0,0.0,1.0
VFID0149-NGC3654,0.0,0.0,0.0,0.0
VFID0155-NGC2787,0.0,0.0,0.0,0.0
VFID0160-NGC4128,0.0,0.0,0.0,0.0
VFID0165-IC1218,0.0,1.0,0.0,0.0
VFID0166-UGC11222,0.0,0.0,0.0,0.0
VFID0168-UGC08737,0.0,1.0,0.0,0.0
VFID0172-UGC06714,0.0,1.0,0.0,1.0
VFID0174-NGC5283,0.0,0.0,0.0,0.0
VFID0176-NGC6470,0.0,0.0,0.0,0.0
VFID0178-UGCA280,0.0,1.0,0.0,0.0
VFID0181-UGCA272,0.0,1.0,0.0,1.0
VFID0187-NGC3622,0.0,0.0,0.0,0.0
VFID0194-NGC3682,0.0,0.0,0.0,0.0
VFID0208-NGC4210,0.0,0.0,0.0,0.0
VFID0212-NGC4256,0.0,1.0,0.0,0.0
VFID0214-NGC4332,0.0,0.0,0.0,0.0
VFID0233-NGC6140,0.0,0.0,0.0,0.0
VFID0240-NGC4125,0.0,0.0,0.0,0.0
VFID0241-UGC05576,0.0,0.0,0.0,0.0
VFID0244-NGC3259,0.0,0.0,0.0,0.0
VFID0249-NGC4441,0.0,0.0,0.0,0.0
VFID0251-NGC5949,0.0,0.0,0.0,0.0
VFID0263-UGC05260,0.0,1.0,0.0,0.0
VFID0267-NGC4081,0.0,0.0,0.0,0.0
VFID0270-UGC07020A,0.0,0.0,0.0,1.0
VFID0278-UGC05776,0.0,0.0,0.0,1.0
VFID0281-NGC2820,0.0,1.0,0.0,0.0
VFID0293-NGC2805,0.0,0.0,0.0,0.0
VFID0301-NGC4512,0.0,1.0,0.0,1.0
VFID0304-UGC07179,0.0,1.0,0.0,0.0
VFID0314-NGC4205,0.0,0.0,0.0,0.0
VFID0321-IC0836,0.0,1.0,0.0,0.0
VFID0323-NGC4545,0.0,0.0,0.0,0.0
VFID0334-NGC4238,0.0,0.0,0.0,0.0
VFID0346-MRK0165,0.0,0.0,0.0,0.0
VFID0349-NGC3359,0.0,0.0,0.0,0.0
VFID0358-IC1235,0.0,0.0,0.0,0.0
VFID0371-NGC5218,0.0,0.0,0.0,1.0
VFID0375-NGC5216,0.0,1.0,0.0,1.0
VFID0377-IC1210,0.0,0.0,0.0,0.0
VFID0378-NGC5205,0.0,0.0,0.0,0.0
VFID0382-MRK0166,0.0,1.0,0.0,1.0
VFID0393-NGC6015,0.0,0.0,0.0,0.0
VFID0394-UGC08237,0.0,0.0,0.0,0.0
VFID0402-NGC4041,0.0,0.0,0.0,0.0
VFID0411-NGC5216A,0.0,0.0,0.0,0.0
VFID0413-UGC10796,0.0,0.0,0.0,1.0
VFID0415-NGC4036,0.0,0.0,0.0,0.0
VFID0419-UGC06528,0.0,0.0,0.0,0.0
VFID0423-NGC6359,0.0,1.0,0.0,1.0
VFID0432-UGC03685,0.0,0.0,0.0,0.0
VFID0438-NGC3471,0.0,0.0,0.0,0.0
VFID0442-UGC04159,0.0,0.0,0.0,0.0
VFID0447-NGC6542,0.0,0.0,0.0,0.0
VFID0450-NGC3543,0.0,0.0,0.0,0.0
VFID0472-NGC5308,0.0,0.0,0.0,0.0
VFID0477-NGC2273,0.0,0.0,0.0,1.0
VFID0479-UGC08684,0.0,0.0,0.0,0.0
VFID0481-NGC6307,0.0,1.0,0.0,0.0
VFID0488-NGC3945,0.0,1.0,0.0,1.0
VFID0497-NGC2742,0.0,0.0,0.0,0.0
VFID0509-NGC2460,0.0,0.0,0.0,0.0
VFID0519-IC2209,0.0,0.0,0.0,1.0
VFID0528-NGC2654,0.0,0.0,0.0,0.0
VFID0529-NGC5322,0.0,1.0,0.0,1.0
VFID0538-NGC3835,0.0,0.0,0.0,0.0
VFID0541-NGC6390,0.0,0.0,0.0,0.0
VFID0545-NGC2273A,0.0,0.0,0.0,0.0
VFID0550-NGC2768,0.0,1.0,0.0,1.0
VFID0552-NGC6381,0.0,0.0,0.0,0.0
VFID0553-NGC3740,0.0,0.0,0.0,0.0
VFID0567-NGC5402,0.0,0.0,0.0,0.0
VFID0568-NGC5894,0.0,0.0,0.0,0.0
VFID0569-NGC5989,0.0,0.0,0.0,0.0
VFID0570-NGC5379,0.0,0.0,0.0,0.0
VFID0571-NGC5389,0.0,0.0,0.0,0.0
VFID0573-UGC10590,0.0,0.0,0.0,0.0
VFID0584-CGCG285-012,0.0,1.0,0.0,1.0
VFID0585-NGC5376,0.0,0.0,0.0,0.0
VFID0588-NGC5667,0.0,0.0,0.0,0.0
VFID0594-UGC05408,0.0,1.0,0.0,1.0
VFID0601-NGC3894,0.0,1.0,0.0,1.0
VFID0602-NGC5976,0.0,0.0,0.0,0.0
VFID0607-NGC5982,0.0,0.0,0.0,0.0
VFID0611-NGC5985,0.0,0.0,0.0,0.0
VFID0612-NGC5430,0.0,0.0,0.0,0.0
VFID0614-NGC3043,0.0,0.0,0.0,0.0
VFID0620-SBS0945+594,0.0,1.0,0.0,1.0
VFID0631-IC0691,0.0,0.0,0.0,0.0
VFID0638-WISEAJ150535.77+590537.2,0.0,1.0,0.0,0.0
VFID0643-NGC3642,0.0,1.0,0.0,1.0
VFID0650-UGC06732,0.0,0.0,0.0,1.0
VFID0651-NGC5777,0.0,1.0,0.0,0.0
VFID0673-NGC2950,0.0,0.0,0.0,0.0
VFID0675-UGC04549,0.0,0.0,0.0,0.0
VFID0683-UGC10961,0.0,0.0,0.0,0.0
VFID0686-NGC3610,0.0,0.0,0.0,0.0
VFID0687-UGC08040,0.0,1.0,0.0,0.0
VFID0693-NGC2685,0.0,0.0,0.0,0.0
